ID,word_count,syll_count,nsyll_per_word,nchar,nchar_per_word,tc_count,uc_count,punctuation_count,nStopWord,nUniqueWord,avg_word_length,ngt6lWord,unique_r,w_p,w_p_r,stop_r,w_p_stop,w_p_stop_r,num_words_upper_r,num_words_title_r,qualifier_count,thought_verbs_count,loud_verbs_count,neutral_verbs_count,quiet_verbs_count
id26305,41,61,1.4878048780487805,231,5.634146341463414,1,0,7,28,35,4.487804878048781,10,0.8536585365853658,34,0.8292682926829268,0.6829268292682927,6,0.14634146341463414,0,0.024390243902439025,1,0,0,1,0
id17569,14,18,1.2857142857142858,71,5.071428571428571,1,0,1,10,14,4.071428571428571,3,1,13,0.9285714285714286,0.7142857142857143,3,0.21428571428571427,0,0.07142857142857142,0,0,0,0,0
id11008,36,50,1.3888888888888888,200,5.555555555555555,1,0,5,21,32,4.444444444444445,7,0.8888888888888888,31,0.8611111111111112,0.5833333333333334,10,0.2777777777777778,0,0.027777777777777776,0,0,0,0,0
id27763,34,46,1.3529411764705883,206,6.0588235294117645,4,0,4,15,31,4.970588235294118,10,0.9117647058823529,30,0.8823529411764706,0.4411764705882353,15,0.4411764705882353,0,0.11764705882352941,0,0,0,0,0
id12958,27,46,1.7037037037037037,174,6.444444444444445,2,0,4,15,25,5.333333333333333,9,0.9259259259259259,23,0.8518518518518519,0.5555555555555556,8,0.2962962962962963,0,0.07407407407407407,1,1,0,0,0
id22965,83,132,1.5903614457831325,468,5.63855421686747,0,0,6,50,65,4.578313253012048,21,0.7831325301204819,77,0.927710843373494,0.6024096385542169,27,0.3253012048192771,0,0,1,2,0,0,0
id09674,21,37,1.7619047619047619,128,6.095238095238095,1,0,5,14,20,4.904761904761905,6,0.9523809523809523,16,0.7619047619047619,0.6666666666666666,2,0.09523809523809523,0,0.047619047619047616,0,0,0,0,0
id13515,8,12,1.5,43,5.375,1,0,1,4,8,4.375,2,1,7,0.875,0.5,3,0.375,0,0.125,0,0,0,0,0
id19322,88,130,1.4772727272727273,488,5.545454545454546,3,0,11,61,62,4.431818181818182,18,0.7045454545454546,77,0.875,0.6931818181818182,16,0.18181818181818182,0,0.03409090909090909,3,4,0,2,0
id00912,23,36,1.565217391304348,144,6.260869565217392,0,0,3,15,18,5.173913043478261,9,0.782608695652174,20,0.8695652173913043,0.6521739130434783,5,0.21739130434782608,0,0,1,0,0,0,0
