ID,qualifier_count,thought_verbs_count,loud_verbs_count,neutral_verbs_count,quiet_verbs_count
id00001,0,0,0,0,0
id00002,1,0,0,0,0
id00003,0,1,0,0,0
id00004,1,0,0,0,0
id00005,0,0,0,0,0
id00006,0,0,0,1,0
id00007,1,0,0,0,0
id00009,1,1,0,0,0
id00010,0,0,0,0,0
id00012,0,0,0,0,0
id00014,1,0,0,0,0
id00015,0,2,0,0,0
id00016,1,1,0,1,0
id00017,2,3,0,1,0
id00019,0,0,0,0,0
id00021,0,0,0,0,0
id00022,0,0,0,0,0
id00024,0,0,0,0,0
id00027,0,1,0,0,0
id00028,0,0,0,0,0
id00029,0,0,0,0,0
id00030,1,0,0,0,0
id00031,0,0,0,0,0
id00032,0,0,0,0,0
id00033,0,0,0,0,0
id00034,0,0,0,0,0
id00035,0,0,0,0,0
id00036,2,0,0,0,0
id00037,0,0,0,0,0
id00038,1,0,0,0,0
id00039,1,0,0,1,0
id00042,2,0,0,0,0
id00043,0,0,0,0,0
id00045,1,3,0,0,0
id00048,0,0,0,0,0
id00049,0,0,0,0,0
id00050,0,0,0,0,0
id00051,0,0,0,1,0
id00052,0,0,0,0,0
id00053,0,0,0,0,0
id00054,0,0,0,0,0
id00056,0,0,0,0,0
id00057,0,0,0,0,0
id00060,0,1,0,0,0
id00061,1,0,0,0,0
id00062,0,0,0,0,0
id00063,1,0,0,0,0
id00064,3,1,0,0,0
id00065,0,0,0,0,0
id00067,1,1,0,0,0
id00068,0,0,0,0,0
id00070,1,1,0,0,0
id00073,1,1,0,0,0
id00075,0,0,0,0,0
id00077,0,1,0,0,0
id00078,0,0,0,0,0
id00079,0,0,0,0,0
id00080,0,1,0,0,0
id00081,0,0,0,0,0
id00082,1,1,0,1,1
id00084,0,0,0,0,0
id00086,0,0,0,0,0
id00090,1,0,0,0,0
id00091,0,1,0,1,0
id00093,1,0,0,0,0
id00094,0,1,0,0,0
id00095,1,0,0,0,0
id00097,0,1,0,1,0
id00098,1,0,0,0,0
id00099,0,0,0,0,0
id00100,0,0,0,0,0
id00103,2,0,0,0,0
id00106,0,1,0,0,0
id00107,1,0,0,2,0
id00108,0,0,0,0,0
id00109,0,1,0,0,0
id00113,1,0,0,0,0
id00117,1,0,0,0,0
id00119,1,0,0,2,1
id00120,0,0,0,0,0
id00122,0,0,0,0,0
id00123,1,1,0,0,0
id00127,1,0,1,0,0
id00128,0,0,0,0,0
id00129,0,1,0,0,0
id00130,0,2,0,4,0
id00131,0,1,0,0,0
id00133,0,0,0,0,0
id00135,0,0,0,0,0
id00136,0,0,0,0,0
id00138,0,1,0,0,0
id00141,1,0,0,0,0
id00143,0,2,0,0,0
id00144,0,0,0,0,0
id00145,0,0,0,0,0
id00146,1,0,0,0,0
id00147,0,0,0,0,0
id00148,0,0,0,0,1
id00149,0,0,0,1,0
id00150,0,0,0,0,0
id00151,1,0,0,0,0
id00152,1,0,0,0,0
id00153,0,0,0,0,0
id00154,2,1,0,1,0
id00155,1,1,0,0,0
id00156,1,0,0,0,0
id00158,0,0,0,0,0
id00159,0,0,0,0,0
id00161,0,0,0,0,0
id00162,2,0,0,0,0
id00163,1,0,0,1,0
id00164,0,0,0,0,0
id00165,0,0,0,0,0
id00166,0,0,0,0,0
id00168,0,0,0,0,0
id00169,0,0,0,0,0
id00170,0,0,0,0,0
id00171,0,0,0,0,0
id00172,0,1,0,0,0
id00174,0,0,1,0,0
id00175,0,0,0,0,0
id00179,0,0,0,0,0
id00180,0,0,0,0,0
id00181,0,0,1,0,0
id00182,0,0,0,0,0
id00185,1,0,0,0,0
id00186,1,2,0,0,1
id00187,0,2,0,0,0
id00188,0,0,0,0,0
id00193,1,0,0,0,0
id00197,0,0,0,0,0
id00198,1,1,0,0,0
id00200,0,0,0,0,0
id00201,0,0,0,0,0
id00202,4,0,0,0,0
id00204,0,0,0,0,0
id00205,0,1,0,1,0
id00207,0,2,0,0,0
id00208,0,1,0,1,0
id00209,0,1,0,0,0
id00211,2,0,0,1,0
id00212,0,1,0,0,0
id00213,0,0,0,0,0
id00216,1,0,0,1,0
id00218,0,0,0,0,0
id00220,0,0,0,0,0
id00221,2,3,0,0,0
id00222,0,1,0,2,0
id00223,0,0,0,0,0
id00224,0,0,1,0,0
id00225,1,0,0,0,0
id00226,0,2,0,1,0
id00227,1,0,0,0,0
id00229,1,0,0,0,0
id00230,0,1,0,0,0
id00232,0,1,0,0,0
id00234,0,0,0,0,0
id00236,1,1,0,0,0
id00237,0,0,0,1,0
id00238,1,0,0,0,0
id00239,1,1,1,0,0
id00241,2,0,0,0,0
id00242,0,0,0,0,0
id00244,0,0,0,0,0
id00246,0,0,0,0,0
id00248,0,0,0,0,0
id00250,0,1,0,0,0
id00251,0,0,0,0,0
id00252,0,0,0,0,0
id00253,0,0,0,0,0
id00254,1,1,0,0,0
id00255,0,0,0,0,0
id00256,0,1,0,0,0
id00257,0,1,0,0,0
id00259,1,0,0,0,0
id00260,0,0,0,0,0
id00261,1,1,0,0,0
id00264,0,0,0,0,0
id00265,0,1,0,1,0
id00267,1,0,0,0,0
id00268,1,0,0,0,0
id00270,0,0,0,0,0
id00271,0,0,0,0,0
id00272,0,0,0,0,0
id00275,1,1,0,0,0
id00276,0,0,0,0,0
id00277,0,0,0,0,0
id00278,0,0,0,0,0
id00279,0,0,0,0,0
id00280,1,1,0,0,0
id00281,1,0,0,0,0
id00282,1,0,0,0,0
id00283,0,1,0,0,0
id00284,0,0,0,0,0
id00285,0,0,0,0,0
id00286,0,0,0,0,0
id00287,0,0,0,0,0
id00288,0,0,0,0,0
id00289,1,0,1,0,0
id00290,0,0,0,0,0
id00291,1,1,0,0,0
id00292,0,0,0,0,0
id00293,1,1,0,0,0
id00295,0,0,0,0,0
id00297,1,1,0,0,0
id00299,0,0,0,0,0
id00301,0,0,0,0,0
id00302,1,2,0,0,0
id00303,0,0,0,0,0
id00304,0,0,0,0,0
id00306,0,0,0,0,0
id00307,0,0,0,0,0
id00308,1,0,0,0,0
id00309,0,1,0,0,0
id00310,1,0,0,0,0
id00311,0,0,0,0,0
id00312,0,0,0,0,0
id00314,0,0,0,0,0
id00315,1,2,0,1,0
id00316,0,0,0,0,0
id00317,0,1,0,1,0
id00318,0,0,0,0,0
id00321,0,0,0,0,0
id00322,0,0,0,0,0
id00323,0,1,0,1,0
id00324,1,1,0,0,0
id00329,1,0,0,0,0
id00332,0,0,0,0,0
id00334,1,0,0,0,0
id00336,0,1,0,0,0
id00337,0,1,0,1,0
id00338,1,0,0,0,0
id00341,0,0,0,0,0
id00353,0,0,0,0,0
id00354,0,0,0,1,0
id00357,0,1,0,0,0
id00358,0,1,0,0,0
id00359,1,1,0,0,0
id00361,0,1,0,0,0
id00362,1,0,0,0,0
id00363,2,0,0,1,0
id00365,0,0,0,0,0
id00368,0,1,0,0,0
id00369,0,1,0,0,0
id00370,1,0,0,0,0
id00371,0,0,0,0,0
id00374,0,0,0,0,0
id00375,0,0,0,0,0
id00376,2,0,0,0,0
id00377,0,0,0,0,0
id00379,0,0,0,0,0
id00381,0,0,0,0,0
id00383,0,0,0,0,0
id00384,0,0,0,0,0
id00385,0,2,0,0,0
id00386,1,0,0,1,0
id00387,0,1,0,0,0
id00388,2,3,0,1,0
id00389,0,0,0,0,0
id00390,0,0,0,0,0
id00391,0,0,0,0,0
id00392,0,0,0,0,0
id00393,0,0,0,0,0
id00394,0,0,1,2,0
id00396,0,0,0,0,0
id00400,0,0,0,0,0
id00402,0,0,0,0,0
id00403,0,0,0,0,0
id00404,0,0,0,0,0
id00405,0,0,0,0,0
id00408,0,0,0,0,0
id00410,1,0,0,0,0
id00412,0,0,0,1,0
id00413,0,0,0,0,0
id00415,1,0,0,0,0
id00418,0,0,0,0,0
id00419,0,0,0,0,0
id00420,0,0,0,0,0
id00421,0,1,0,0,0
id00423,0,0,0,0,0
id00425,0,1,0,0,0
id00427,0,0,1,0,0
id00429,0,1,0,0,0
id00431,0,0,0,0,0
id00433,0,1,0,0,0
id00434,1,0,0,0,0
id00435,1,0,0,0,0
id00436,0,0,0,0,0
id00437,0,1,0,0,0
id00438,0,0,0,0,0
id00439,0,1,0,0,0
id00440,1,0,0,0,0
id00441,0,0,0,0,0
id00442,2,1,0,0,0
id00444,1,0,0,0,0
id00445,0,0,1,0,0
id00446,0,0,0,0,0
id00447,2,0,0,0,0
id00448,1,0,0,0,0
id00450,1,0,0,0,0
id00452,0,0,0,0,0
id00453,0,2,0,0,0
id00454,0,0,0,0,0
id00455,0,0,0,0,0
id00457,2,0,0,0,0
id00460,3,1,0,0,0
id00464,0,1,0,0,0
id00465,0,0,0,0,0
id00466,0,0,0,0,0
id00467,0,0,0,0,0
id00469,2,0,0,0,0
id00470,0,0,0,0,0
id00471,4,1,0,0,0
id00472,0,1,0,0,0
id00473,0,0,0,0,0
id00474,0,0,0,0,0
id00475,0,0,0,0,0
id00476,0,0,0,0,0
id00480,0,1,0,0,0
id00482,0,0,0,0,0
id00483,0,2,0,0,0
id00484,1,0,0,1,0
id00485,0,0,0,0,0
id00489,0,0,0,1,0
id00490,0,0,0,0,0
id00495,0,0,0,1,0
id00496,1,1,0,0,0
id00498,1,1,0,0,0
id00499,0,0,0,0,0
id00501,1,0,0,0,0
id00505,1,0,0,0,0
id00506,1,0,0,0,0
id00507,0,1,0,0,0
id00508,0,0,0,0,0
id00510,0,1,0,0,0
id00512,1,1,0,0,0
id00514,1,0,1,0,0
id00515,0,0,0,0,1
id00516,0,1,0,0,0
id00518,0,0,1,0,0
id00519,0,0,0,0,0
id00520,1,1,0,0,0
id00521,1,0,0,0,0
id00522,1,0,0,0,0
id00523,0,0,0,0,0
id00524,2,0,0,0,0
id00526,1,0,0,0,0
id00528,0,1,0,0,0
id00529,0,0,1,0,0
id00531,1,0,0,0,0
id00532,0,0,0,0,0
id00533,0,0,0,0,0
id00535,0,0,0,0,0
id00537,1,1,0,0,0
id00538,0,0,0,0,0
id00539,0,0,0,0,0
id00541,1,2,0,0,0
id00542,1,0,0,0,0
id00545,0,1,0,0,0
id00546,0,0,0,0,0
id00547,0,0,0,0,0
id00548,0,0,0,0,0
id00550,3,3,0,1,0
id00551,0,0,0,0,0
id00552,0,0,0,0,0
id00553,0,0,0,0,0
id00554,0,1,0,0,0
id00555,0,0,0,0,0
id00556,0,0,0,0,0
id00558,0,0,0,0,1
id00559,0,0,0,0,0
id00560,0,0,0,0,0
id00562,2,0,0,0,0
id00564,0,0,0,0,0
id00566,1,0,0,0,0
id00567,1,0,0,0,0
id00569,0,0,0,0,0
id00570,0,0,0,0,0
id00572,0,0,0,1,0
id00575,0,0,0,0,0
id00576,0,1,0,0,1
id00577,0,0,0,0,0
id00578,0,0,0,1,0
id00582,0,0,0,1,0
id00584,0,0,0,0,0
id00587,0,0,0,0,0
id00588,0,0,0,1,0
id00589,0,0,0,0,0
id00590,2,0,0,0,0
id00591,0,0,0,0,0
id00593,0,0,0,1,0
id00594,0,1,0,0,0
id00596,0,1,0,0,0
id00597,0,0,0,0,0
id00598,0,0,0,1,0
id00601,0,0,0,0,1
id00602,0,1,0,0,0
id00604,1,0,0,1,0
id00605,1,0,0,0,0
id00606,0,0,0,0,0
id00607,1,2,0,0,0
id00609,0,0,0,0,0
id00610,3,2,0,1,1
id00611,1,0,0,0,0
id00612,1,0,0,0,0
id00614,0,0,0,0,0
id00615,0,0,0,0,0
id00616,0,0,0,0,0
id00619,2,1,0,0,0
id00620,2,1,1,1,0
id00621,0,0,0,0,0
id00622,0,0,0,0,0
id00623,0,0,0,0,0
id00624,0,0,0,0,0
id00625,0,2,0,0,0
id00629,0,0,0,1,0
id00631,1,0,0,0,0
id00632,0,2,0,0,0
id00633,0,0,0,0,0
id00634,0,3,0,0,0
id00635,0,2,0,0,0
id00636,0,0,1,1,0
id00637,1,1,0,1,0
id00638,1,2,0,0,0
id00639,1,1,0,0,0
id00640,0,0,0,0,0
id00643,0,0,0,0,0
id00644,0,0,0,0,1
id00645,2,0,0,0,0
id00646,1,0,0,0,0
id00647,0,0,0,0,0
id00649,0,1,0,0,0
id00650,0,0,0,0,0
id00651,1,0,0,0,0
id00653,0,0,0,0,0
id00654,1,0,0,0,0
id00657,0,0,0,0,0
id00660,0,1,0,0,0
id00661,1,0,0,0,0
id00662,0,0,0,0,0
id00663,0,0,0,0,0
id00664,1,2,0,0,0
id00665,3,0,0,0,0
id00666,1,2,0,2,0
id00667,0,0,0,0,0
id00668,0,0,0,0,0
id00669,1,1,0,0,0
id00671,1,0,0,0,0
id00672,0,0,0,0,0
id00673,0,0,0,0,0
id00674,0,0,0,0,0
id00675,0,0,0,0,0
id00676,0,0,0,0,0
id00677,1,0,0,0,0
id00679,0,0,1,0,0
id00680,0,0,0,0,0
id00682,1,0,0,0,0
id00683,1,1,0,0,0
id00685,1,0,0,0,0
id00688,0,0,0,0,0
id00689,0,0,0,0,0
id00690,0,0,0,0,0
id00691,1,0,0,0,0
id00693,1,1,0,0,0
id00694,0,0,0,0,0
id00695,1,0,0,0,0
id00698,2,1,0,0,0
id00700,0,0,0,0,0
id00702,0,0,0,0,0
id00704,1,0,0,0,0
id00705,0,0,1,0,0
id00706,0,1,0,1,0
id00707,1,0,0,0,0
id00708,0,0,0,0,0
id00709,0,0,0,1,0
id00710,1,1,0,2,0
id00711,0,0,0,0,0
id00712,0,0,0,0,1
id00713,0,1,0,0,0
id00714,0,0,0,0,0
id00715,0,0,0,0,0
id00716,0,0,0,1,0
id00717,0,0,0,0,0
id00719,1,2,0,1,0
id00720,0,0,0,0,0
id00723,0,1,0,0,0
id00724,1,0,0,1,0
id00725,0,0,0,0,0
id00726,1,2,0,0,0
id00727,3,0,0,0,0
id00728,0,0,0,0,1
id00730,1,1,0,0,0
id00732,0,1,0,0,0
id00733,0,0,0,0,0
id00734,0,1,0,0,0
id00736,2,0,0,0,0
id00738,0,0,0,0,0
id00739,0,1,0,0,0
id00740,1,1,0,1,0
id00741,0,0,0,0,0
id00742,1,1,0,0,0
id00743,0,0,0,0,0
id00745,0,0,0,0,0
id00746,0,0,0,0,0
id00747,1,0,0,0,0
id00748,0,0,0,0,0
id00749,3,0,0,0,0
id00750,1,0,0,0,1
id00752,0,0,0,0,0
id00754,0,0,0,0,0
id00755,1,0,0,1,0
id00756,1,0,0,0,0
id00757,0,0,0,0,0
id00760,0,1,0,0,0
id00762,0,0,0,0,0
id00763,0,0,0,0,0
id00764,0,0,0,0,0
id00765,0,0,0,0,0
id00766,1,0,0,0,0
id00768,0,0,0,0,0
id00769,1,2,0,0,0
id00771,0,0,0,0,0
id00774,0,0,0,0,0
id00775,0,2,0,2,0
id00776,0,0,0,0,0
id00777,1,1,0,0,0
id00778,1,2,0,0,0
id00779,0,0,0,0,0
id00781,0,0,0,0,0
id00782,0,0,0,0,0
id00783,0,0,0,0,0
id00786,0,0,0,0,0
id00787,0,0,0,0,0
id00788,0,2,0,0,0
id00789,0,1,0,0,0
id00790,1,0,0,0,0
id00791,0,0,0,0,0
id00792,0,0,0,0,0
id00793,0,0,0,0,0
id00796,0,0,1,0,0
id00798,1,0,0,0,0
id00799,1,0,0,0,0
id00800,1,0,0,0,0
id00801,0,0,0,0,0
id00802,1,3,0,0,0
id00805,3,0,0,0,0
id00806,1,2,0,0,0
id00807,0,1,0,0,0
id00808,0,1,0,0,0
id00809,0,2,0,0,0
id00810,1,0,0,0,0
id00811,0,1,0,0,0
id00813,0,0,0,0,0
id00815,0,0,0,0,0
id00816,0,0,0,0,0
id00817,1,0,0,0,0
id00818,0,0,0,0,0
id00819,0,0,1,0,0
id00822,1,0,0,0,0
id00824,0,0,0,0,0
id00825,0,0,0,0,0
id00826,0,0,0,1,0
id00827,0,0,0,0,0
id00829,1,0,0,0,0
id00830,0,2,0,0,0
id00832,0,0,0,0,0
id00833,0,0,0,0,0
id00834,0,0,0,0,0
id00836,1,0,0,0,0
id00838,0,0,1,0,0
id00839,0,0,0,0,0
id00840,0,0,0,0,0
id00844,0,1,0,0,0
